hour,battery,curtailment,demand
4946,0.0,0.0,3209.464606
4947,0.0,0.0,3209.464606
4948,0.0,0.0,3209.464606
4949,0.0,0.0,3209.464606
4950,0.0,0.0,3209.464606
4951,0.0,0.0,3209.464606
4952,0.0,2622.396225231723,3209.464606
4953,0.0,5644.185500820438,3209.464606
4954,0.0,8146.304009269692,3209.464606
4955,0.0,9955.528161533,3209.464606
4956,0.0,10860.140237664651,3209.464606
4957,0.0,9743.810441587293,3209.464606
4958,2891.7378926942156,5177.577854777038,3209.464606
4959,7222.444867688429,0.0,3209.464606
4960,4989.78527553371,0.0,3209.464606
4961,2044.9842617434338,0.0,3209.464606
4962,0.0,0.0,3209.464606
4963,0.0,0.0,3209.464606
4964,0.0,0.0,3209.464606
4965,0.0,0.0,3209.464606
4966,0.0,0.0,3209.464606
4967,0.0,0.0,3209.464606
4968,0.0,0.0,3209.464606
4969,0.0,0.0,3209.464606
4970,0.0,0.0,3209.464606
4971,0.0,0.0,3209.464606
4972,0.0,0.0,3209.464606
4973,0.0,0.0,3209.464606
4974,0.0,0.0,3209.464606
4975,0.0,0.0,3209.464606
4976,0.0,0.0,3209.464606
4977,0.0,2506.913832534065,3209.464606
4978,0.0,5798.1620244173155,3209.464606
4979,0.0,8338.774663765787,3209.464606
4980,0.0,9936.28109608339,3209.464606
4981,0.0,9147.151412649395,3209.464606
4982,481.0593874081987,7896.209407256809,3209.464606
4983,7607.386176680622,0.0,3209.464606
4984,5721.173762618877,0.0,3209.464606
4985,3045.8316651231357,0.0,3209.464606
4986,293.50130582895554,0.0,3209.464606
4987,0.0,0.0,3209.464606
4988,0.0,0.0,3209.464606
4989,0.0,0.0,3209.464606
4990,0.0,0.0,3209.464606
4991,0.0,0.0,3209.464606
4992,0.0,0.0,3209.464606
4993,0.0,0.0,3209.464606
4994,0.0,0.0,3209.464606
4995,0.0,0.0,3209.464606
4996,0.0,0.0,3209.464606
4997,0.0,0.0,3209.464606
4998,0.0,0.0,3209.464606
4999,0.0,0.0,3209.464606
5000,0.0,2275.9490471387485,3209.464606
5001,0.0,5047.526471882538,3209.464606
5002,0.0,6625.785838750529,3209.464606
5003,0.0,5971.385613463801,3209.464606
5004,0.0,4797.314621037613,3209.464606
5005,0.0,4585.596901091907,3209.464606
5006,461.8123219585932,5548.067422404428,3209.464606
5007,6548.797576952091,0.0,3209.464606
5008,5624.938435370828,0.0,3209.464606
5009,3565.5024322625954,0.0,3209.464606
5010,947.9015311156841,0.0,3209.464606
5011,0.0,0.0,3209.464606
5012,0.0,0.0,3209.464606
