hour,pv,demand_elec_res,demand_heat_res,demand_elec_inst,demand_heat_inst,demand_elec,demand_heat,,,,,
t80,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t81,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t82,0.026,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t83,0.07,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t84,0.116,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t85,0.139,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t86,0.12,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t87,0.058,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t88,0.003,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t89,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t90,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t91,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t92,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t93,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t94,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t95,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t96,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t97,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t98,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t99,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t100,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t101,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t102,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t103,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t104,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t105,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t106,0.043,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t107,0.089,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t108,0.106,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t109,0.126,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t110,0.114,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t111,0.053,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t112,0.002,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t113,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t114,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t115,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t116,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t117,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t118,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t119,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t120,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t121,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t122,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t123,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t124,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t125,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t126,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t127,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t128,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t129,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t130,0.022,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t131,0.068,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t132,0.114,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t133,0.161,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
